GemName,Usage (GS),Usage (NR),Downloads,% Usage (GS),% Usage (NR),% Downloads
rails,734,7425,5864849,1,0.980845443,0.816669027
jquery-rails,454,2482,956401,0.61852861,0.327873184,0.133177013
sass-rails,244,402,336305,0.332425068,0.053104359,0.046829829
uglifier,260,486,355335,0.354223433,0.064200793,0.04947972
rake,237,7444,6485780,0.322888283,0.98335535,0.903132483
rack,63,7570,7064053,0.085831063,1,0.983655895
sass,165,1726,763310,0.22479564,0.228005284,0.10628946
sprockets,30,639,602401,0.040871935,0.084412153,0.083883189
mime-types,49,7326,4155126,0.066757493,0.967767503,0.578593363
rack-test,51,6547,3871219,0.069482289,0.864861295,0.539059855
json,166,4222,2871033,0.226158038,0.557727873,0.399785864
mail,34,6386,3870102,0.046321526,0.843593131,0.538904315
rack-ssl,17,713,484536,0.023160763,0.094187583,0.067470713
erubis,33,6484,3733069,0.044959128,0.85653897,0.519822732
coffee-rails,187,238,246749,0.254768392,0.031439894,0.034359327
coffee-script,60,634,378467,0.081743869,0.083751651,0.052700807
sqlite3,164,1349,1212489,0.223433243,0.178203435,0.168836779
execjs,28,600,463414,0.038147139,0.079260238,0.064529515
treetop,9,6447,3687472,0.01226158,0.851651255,0.513473436
builder,32,7274,4519914,0.04359673,0.960898283,0.629389396
turn,97,77,166933,0.132152589,0.010171731,0.023245102
activerecord,16,7409,6217944,0.021798365,0.978731836,0.865836832
activesupport,15,7424,7181427,0.020435967,0.980713342,1
rdoc,37,2036,1620351,0.050408719,0.268956407,0.225630783
tzinfo,23,6527,3954688,0.03133515,0.862219287,0.550682754
rack-cache,37,931,638915,0.050408719,0.122985469,0.088967694
ansi,2,81,240268,0.002724796,0.010700132,0.03345686
multi_json,9,2501,1095233,0.01226158,0.330383091,0.152509104
coffee-script-source,2,634,388487,0.002724796,0.083751651,0.054096073
i18n,44,6787,4296646,0.059945504,0.89656539,0.598299753
bundler,27,7421,3099765,0.036784741,0.980317041,0.431636359
railties,5,6269,3563538,0.006811989,0.828137384,0.496215864
tilt,6,1413,1250502,0.008174387,0.18665786,0.174130016
arel,4,6261,3881843,0.005449591,0.827080581,0.540539227
thor,7,6340,3404145,0.009536785,0.837516513,0.474020693
actionpack,4,7412,6074232,0.005449591,0.979128137,0.84582521
actionmailer,5,7410,5989372,0.006811989,0.978863937,0.834008617
activemodel,2,6266,4003618,0.002724796,0.827741083,0.557496163
polyglot,1,6433,3579107,0.001362398,0.849801849,0.498383817
rack-mount,1,6268,3557351,0.001362398,0.828005284,0.495354336